onset	duration	trial_type	sub	ses	run	runtype	eventtype	trialnum	cuetype	stimtype	expectrating	outcomerating	singletrial_fname
3.382040023803711	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	0	low_cue	high_stim	0.0		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-000_cuetype-low.nii.gz
45.98126006126404	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	1	high_cue	med_stim	3.46125387795416		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-001_cuetype-high.nii.gz
80.69420003890991	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	2	low_cue	low_stim	1.38591785081219		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-002_cuetype-low.nii.gz
110.28856992721558	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	3	low_cue	low_stim	0.0		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-003_cuetype-low.nii.gz
143.7843999862671	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	4	high_cue	low_stim	0.0		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-004_cuetype-high.nii.gz
171.29466009140015	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	5	high_cue	med_stim	3.25722194066696		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-005_cuetype-high.nii.gz
201.0890998840332	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	6	high_cue	low_stim			sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-006_cuetype-high.nii.gz
234.7850000858307	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	7	low_cue	high_stim	0.0		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-007_cuetype-low.nii.gz
265.0796298980713	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	8	low_cue	med_stim	0.0		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-008_cuetype-low.nii.gz
295.4909698963165	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	9	low_cue	med_stim	0.920334966849057		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-009_cuetype-low.nii.gz
337.89012002944946	1.0	cue	sub-0016	ses-04	run-05	cognitive	cue	10	high_cue	high_stim	0.695865939508794		sub-0016_ses-04_run-05_runtype-cognitive_event-cue_trial-010_cuetype-high.nii.gz
