,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,15,1,cognitive,2,high_cue,low_stim,4,0,low_stim,1.7589918135447737
1,15,1,cognitive,2,low_cue,low_stim,1,1,low_stim,0.400534919592525
2,15,1,cognitive,2,low_cue,med_stim,2,2,med_stim,-0.19874293158058012
3,15,1,cognitive,2,low_cue,high_stim,3,3,high_stim,-0.668165756288352
4,15,1,cognitive,2,high_cue,med_stim,5,4,med_stim,-1.2624678979988673
5,15,1,cognitive,2,high_cue,high_stim,6,5,high_stim,-1.3248866790852496
6,15,1,cognitive,2,high_cue,low_stim,4,6,low_stim,-1.4317406084711146
7,15,1,cognitive,2,high_cue,high_stim,6,7,high_stim,-0.1986902520905454
8,15,1,cognitive,2,low_cue,low_stim,1,8,low_stim,0.49119040648884965
9,15,1,cognitive,2,low_cue,med_stim,2,9,med_stim,0.25326746769778197
10,15,1,cognitive,2,low_cue,high_stim,3,10,high_stim,0.47332427711723124
11,15,1,cognitive,2,high_cue,med_stim,5,11,med_stim,0.5302145320551548
