onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
5.4	1.02	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h006.png	n/a	n/a	n/a	n/a	n/a
35.09	1.0	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a	n/a	n/a
68.69	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png	n/a	n/a	n/a	n/a	n/a
96.58	1.0	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a	n/a	n/a
123.99	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png	n/a	n/a	n/a	n/a	n/a
167.29	1.0	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h020.png	n/a	n/a	n/a	n/a	n/a
203.29	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l036.png	n/a	n/a	n/a	n/a	n/a
238.68	1.0	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l016.png	n/a	n/a	n/a	n/a	n/a
276.88	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l002.png	n/a	n/a	n/a	n/a	n/a
312.3	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png	n/a	n/a	n/a	n/a	n/a
347.39	1.0	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h041.png	n/a	n/a	n/a	n/a	n/a
373.18	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a	n/a	n/a
8.2	1.62	expectrating	1	high_cue	n/a	59.51	Strong	59.51	Strong	0.35	1.27	h006.png	n/a	n/a	n/a	n/a	n/a
37.49	1.64	expectrating	2	high_cue	n/a	58.92	Strong	58.92	Strong	0.33	1.3	h004.png	n/a	n/a	n/a	n/a	n/a
71.09	2.09	expectrating	3	high_cue	n/a	90.23	Very Strong	90.23	Very Strong	0.47	1.62	h012.png	n/a	n/a	n/a	n/a	n/a
98.1	2.13	expectrating	4	low_cue	n/a	38.37	Strong	38.37	Strong	0.47	1.67	l013.png	n/a	n/a	n/a	n/a	n/a
126.79	1.2	expectrating	5	high_cue	n/a	97.46	Very Strong	97.46	Very Strong	0.35	0.85	h024.png	n/a	n/a	n/a	n/a	n/a
170.09	1.27	expectrating	6	high_cue	n/a	77.97	Very Strong	77.97	Very Strong	0.43	0.84	h020.png	n/a	n/a	n/a	n/a	n/a
205.19	2.06	expectrating	7	low_cue	n/a	19.67	Moderate	19.67	Moderate	0.42	1.64	l036.png	n/a	n/a	n/a	n/a	n/a
