onset	duration	trial_type	sub	ses	run	runtype	eventtype	trialnum	cuetype	stimtype	expectrating	outcomerating	singletrial_fname
11.297509908676147	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	0	high_cue	high_stim	48.9227128905105		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-000_cuetype-high.nii.gz
44.29314994812012	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	1	low_cue	high_stim	1.90915243299638		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-001_cuetype-low.nii.gz
80.69005990028381	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	2	high_cue	high_stim	28.7203267978695		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-002_cuetype-high.nii.gz
105.59934997558594	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	3	low_cue	med_stim	14.9314171781376		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-003_cuetype-low.nii.gz
133.79320001602173	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	4	high_cue	low_stim	46.7950067373364		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-004_cuetype-high.nii.gz
169.4898397922516	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	5	high_cue	med_stim	50.1643049465183		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-005_cuetype-high.nii.gz
204.40285992622375	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	6	low_cue	high_stim	13.0132132792586		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-006_cuetype-low.nii.gz
234.29733991622925	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	7	high_cue	low_stim	44.3489396197705		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-007_cuetype-high.nii.gz
266.69275999069214	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	8	low_cue	low_stim	4.38103783180802		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-low.nii.gz
294.8032398223877	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	9	high_cue	med_stim	21.5014343240479		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-009_cuetype-high.nii.gz
327.09861993789673	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	10	low_cue	med_stim	5.98495231511541		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-low.nii.gz
366.4966399669647	1.0	cue	sub-0039	ses-01	run-06	vicarious	cue	11	low_cue	low_stim	10.9908661966055		sub-0039_ses-01_run-06_runtype-vicarious_event-cue_trial-011_cuetype-low.nii.gz
14.215269804000854	1.70599031448364	expectrating	sub-0039	ses-01	run-06	vicarious	expectrating	0	high_cue	high_stim	48.9227128905105		sub-0039_ses-01_run-06_runtype-vicarious_event-expectrating_trial-000_cuetype-high.nii.gz
47.1942298412323	2.84380555152893	expectrating	sub-0039	ses-01	run-06	vicarious	expectrating	1	low_cue	high_stim	1.90915243299638		sub-0039_ses-01_run-06_runtype-vicarious_event-expectrating_trial-001_cuetype-low.nii.gz
83.69117999076843	1.9675555229187	expectrating	sub-0039	ses-01	run-06	vicarious	expectrating	2	high_cue	high_stim	28.7203267978695		sub-0039_ses-01_run-06_runtype-vicarious_event-expectrating_trial-002_cuetype-high.nii.gz
107.4000198841095	2.30458211898804	expectrating	sub-0039	ses-01	run-06	vicarious	expectrating	3	low_cue	med_stim	14.9314171781376		sub-0039_ses-01_run-06_runtype-vicarious_event-expectrating_trial-003_cuetype-low.nii.gz
