onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
13.39	1.0	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l049.png	n/a	n/a	n/a	n/a	n/a
43.0	1.0	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l032.png	n/a	n/a	n/a	n/a	n/a
78.7	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h030.png	n/a	n/a	n/a	n/a	n/a
113.9	1.0	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l004.png	n/a	n/a	n/a	n/a	n/a
151.71	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h049.png	n/a	n/a	n/a	n/a	n/a
178.81	1.0	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l024.png	n/a	n/a	n/a	n/a	n/a
207.2	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l050.png	n/a	n/a	n/a	n/a	n/a
237.59	1.0	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png	n/a	n/a	n/a	n/a	n/a
268.31	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h054.png	n/a	n/a	n/a	n/a	n/a
300.1	1.0	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h027.png	n/a	n/a	n/a	n/a	n/a
333.6	1.0	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h046.png	n/a	n/a	n/a	n/a	n/a
366.99	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l015.png	n/a	n/a	n/a	n/a	n/a
15.24	1.95	expectrating	1	low_cue	n/a	21.54	Moderate	21.54	Moderate	0.3	1.65	l049.png	n/a	n/a	n/a	n/a	n/a
46.01	2.67	expectrating	2	low_cue	n/a	16.55	Moderate	16.55	Moderate	0.37	2.3	l032.png	n/a	n/a	n/a	n/a	n/a
81.72	1.99	expectrating	3	high_cue	n/a	36.69	Strong	36.69	Strong	0.32	1.67	h030.png	n/a	n/a	n/a	n/a	n/a
115.8	1.98	expectrating	4	low_cue	n/a	21.72	Moderate	21.72	Moderate	0.4	1.58	l004.png	n/a	n/a	n/a	n/a	n/a
153.41	2.13	expectrating	5	high_cue	n/a	22.14	Moderate	22.14	Moderate	0.62	1.51	h049.png	n/a	n/a	n/a	n/a	n/a
181.91	2.93	expectrating	6	low_cue	n/a	15.32	Moderate	15.32	Moderate	0.58	2.35	l024.png	n/a	n/a	n/a	n/a	n/a
210.2	2.32	expectrating	7	low_cue	n/a	17.56	Moderate	17.56	Moderate	0.35	1.97	l050.png	n/a	n/a	n/a	n/a	n/a
239.31	2.48	expectrating	8	high_cue	n/a	30.06	Strong	30.06	Strong	0.72	1.77	h047.png	n/a	n/a	n/a	n/a	n/a
271.31	2.18	expectrating	9	high_cue	n/a	14.37	Moderate	14.37	Moderate	0.65	1.53	h054.png	n/a	n/a	n/a	n/a	n/a
302.9	2.22	expectrating	10	high_cue	n/a	21.93	Moderate	21.93	Moderate	0.43	1.79	h027.png	n/a	n/a	n/a	n/a	n/a
336.5	2.15	expectrating	11	high_cue	n/a	25.13	Moderate	25.13	Moderate	0.35	1.8	h046.png	n/a	n/a	n/a	n/a	n/a
368.91	2.5	expectrating	12	low_cue	n/a	18.8	Moderate	18.8	Moderate	0.57	1.93	l015.png	n/a	n/a	n/a	n/a	n/a
23.98	35.88	stimulus	1	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	23.98	27.48	32.48	35.88	success
54.73	67.09	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	54.73	58.49	63.49	67.1	success
86.53	98.89	stimulus	3	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	86.53	90.29	95.29	98.9	success
123.25	136.08	stimulus	4	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	123.25	127.26	132.26	136.07	success
159.93	172.3	stimulus	5	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	159.93	163.69	168.69	172.3	success
188.13	200.95	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	188.13	192.14	197.14	200.95	success
219.57	231.47	stimulus	7	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	219.57	223.07	228.07	231.47	success
248.23	261.05	stimulus	8	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	248.23	252.24	257.24	261.05	success
277.52	290.34	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	50c	277.52	281.53	286.53	290.34	success
317.52	329.43	stimulus	10	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	317.52	321.02	326.02	329.42	success
345.43	357.33	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	48c	345.43	348.93	353.93	357.33	success
380.52	392.88	stimulus	12	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	49c	380.52	384.28	389.28	392.89	success
36.9	2.22	outcomerating	1	low_cue	low_stim	15.38	Moderate	15.38	Moderate	0.62	1.61	task-pain_scale.png	n/a	n/a	n/a	n/a	success
70.2	2.9	outcomerating	2	low_cue	med_stim	18.8	Moderate	18.8	Moderate	0.47	2.43	task-pain_scale.png	n/a	n/a	n/a	n/a	success
100.01	2.34	outcomerating	3	high_cue	med_stim	20.91	Moderate	20.91	Moderate	0.47	1.87	task-pain_scale.png	n/a	n/a	n/a	n/a	success
137.11	2.43	outcomerating	4	low_cue	high_stim	27.08	Moderate	27.08	Moderate	0.47	1.97	task-pain_scale.png	n/a	n/a	n/a	n/a	success
173.1	2.39	outcomerating	5	high_cue	med_stim	18.94	Moderate	18.94	Moderate	0.6	1.79	task-pain_scale.png	n/a	n/a	n/a	n/a	success
201.9	2.42	outcomerating	6	low_cue	high_stim	20.91	Moderate	20.91	Moderate	0.43	1.98	task-pain_scale.png	n/a	n/a	n/a	n/a	success
232.71	2.57	outcomerating	7	low_cue	low_stim	10.18	Moderate	10.18	Moderate	0.38	2.18	task-pain_scale.png	n/a	n/a	n/a	n/a	success
260.4	2.77	outcomerating	8	high_cue	high_stim	22.96	Moderate	22.96	Moderate	0.48	2.29	task-pain_scale.png	n/a	n/a	n/a	n/a	success
292.2	2.43	outcomerating	9	high_cue	high_stim	17.56	Moderate	17.56	Moderate	0.42	2.01	task-pain_scale.png	n/a	n/a	n/a	n/a	success
328.71	2.35	outcomerating	10	high_cue	low_stim	8.52	Weak	8.52	Weak	0.62	1.73	task-pain_scale.png	n/a	n/a	n/a	n/a	success
359.41	2.67	outcomerating	11	high_cue	low_stim	4.82	Weak	4.82	Weak	0.5	2.17	task-pain_scale.png	n/a	n/a	n/a	n/a	success
394.5	3.72	outcomerating	12	low_cue	med_stim	16.55	Moderate	16.55	Moderate	0.58	3.14	task-pain_scale.png	n/a	n/a	n/a	n/a	success
