,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,26,4,pain,-2,low_cue,high_stim,3,1,0,high_stim,-0.08921012790716326
1,26,4,pain,-2,high_cue,med_stim,5,2,1,med_stim,-0.08943750280546958
2,26,4,pain,-2,low_cue,low_stim,1,3,2,low_stim,-0.08941775576459227
3,26,4,pain,-2,low_cue,low_stim,1,4,3,low_stim,-0.08939800402443435
4,26,4,pain,-2,high_cue,low_stim,4,5,4,low_stim,-0.08951151237445788
5,26,4,pain,-2,high_cue,med_stim,5,6,5,med_stim,-0.08941281827015309
6,26,4,pain,-2,high_cue,low_stim,4,7,6,low_stim,-0.08938318713475506
7,26,4,pain,-2,low_cue,high_stim,3,8,7,high_stim,-0.08945724514815988
8,26,4,pain,-2,low_cue,med_stim,2,9,8,med_stim,-0.08948684985548652
9,26,4,pain,-2,low_cue,med_stim,2,10,9,med_stim,-0.08954602757951716
10,26,4,pain,-2,high_cue,high_stim,6,11,10,high_stim,-0.0895608154110017
11,26,4,pain,-2,high_cue,high_stim,6,12,11,high_stim,-0.08946217999986886
