src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename
61,4,vicarious,1,1,1,low_cue,low_stim,1,1631135499.49037,1631135499.49178,1631135502.27421,1631135502.2853801,10.5926921367645,1631135512.87817,1631135512.8852599,low_cue,l053.png,1631135513.8687599,1631135513.8705099,0.798145055770874,1631135514.69551,1631135514.70038,1631135518.33291,3.63739848136902,68.78738016919212,FIX,1631135518.88041,1631135518.88429,4.486499786376951,low_stim,1631135525.3719802,1631135525.3689,,0,,0,0,1631135532.38544,1631135532.38789,3.98146295547485,1631135536.38694,1631135536.3879302,1631135538.40451,2.01757574081421,60.60394714505675,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,097-gf097,gf097t2aiunaff_L.mp4,0,
61,4,vicarious,1,1,1,low_cue,med_stim,2,1631135499.49037,1631135499.49178,1631135540.4051,1631135540.4183,2.06180715560913,1631135542.48921,1631135542.4916198,low_cue,l048.png,1631135543.46832,1631135543.46983,1.9985821247100801,1631135545.49033,1631135545.4911,1631135547.25785,1.76751756668091,114.19625258779125,FIX,1631135549.5085,1631135549.5104802,4.65841126441956,med_stim,1631135556.17024,1631135556.16837,,0,,0,0,1631135563.18026,1631135563.18487,6.486645698547361,1631135569.6826801,1631135569.68326,1631135572.90075,3.21806907653809,46.95250904939961,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,107-hs107,hs107t2aaaff_M.mp4,0,
61,4,vicarious,1,1,1,high_cue,med_stim,5,1631135499.49037,1631135499.49178,1631135573.71752,1631135573.7191901,4.44938373565674,1631135578.18586,1631135578.18761,high_cue,h042.png,1631135579.16801,1631135579.16937,1.9989001750946,1631135581.18698,1631135581.18782,1631135582.8877099,1.70073819160461,29.859016164923098,FIX,1631135585.20514,1631135585.20695,0.7617652416229251,med_stim,1631135587.96976,1631135587.96825,,0,,0,0,1631135594.97545,1631135594.98479,4.49145579338074,1631135599.4938,1631135599.4946,1631135602.09972,2.6059167385101296,15.275486913900115,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,080-bn080,bn080t1aeaff_M.mp4,0,
61,4,vicarious,1,1,1,low_cue,high_stim,3,1631135499.49037,1631135499.49178,1631135603.5119698,1631135603.51757,9.854941844940187,1631135613.38231,1631135613.38466,low_cue,l036.png,1631135614.36784,1631135614.36902,0.899065971374512,1631135615.28302,1631135615.2842,1631135618.81793,3.5349056720733603,91.84019525639278,FIX,1631135619.36788,1631135619.36941,3.2990260124206503,high_stim,1631135624.67047,1631135624.6683302,,0,,0,0,1631135631.6724699,1631135631.68481,4.89443683624268,1631135636.59097,1631135636.5918,1631135638.09166,1.5006856918334999,40.702613336058306,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,097-gf097,gf097t2aaunaff_H.mp4,0,
61,4,vicarious,1,1,1,high_cue,med_stim,5,1631135499.49037,1631135499.49178,1631135640.6091402,1631135640.61759,10.5577716827393,1631135651.17974,1631135651.18455,high_cue,h048.png,1631135652.1677802,1631135652.16915,0.699128866195679,1631135652.8803804,1631135652.88364,1631135656.74975,3.86937427520752,83.16656270909075,FIX,1631135657.29869,1631135657.30127,2.06821298599243,med_stim,1631135661.37028,1631135661.3684402,,0,,0,0,1631135668.38616,1631135668.38823,4.18074679374695,1631135672.5877302,1631135672.58825,,,25.64100582430528,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,121-vw121,vw121t1aiaff_M.mp4,0,
61,4,vicarious,1,1,1,low_cue,high_stim,3,1631135499.49037,1631135499.49178,1631135676.62257,1631135676.62435,1.6443405151367199,1631135678.27318,1631135678.2846198,low_cue,l016.png,1631135679.2677698,1631135679.26915,2.09913396835327,1631135681.39101,1631135681.39237,1631135682.70832,1.3173108100891102,33.26142879327768,FIX,1631135685.4091802,1631135685.41076,2.1577308177948002,high_stim,1631135689.57032,1631135689.56834,,0,,0,0,1631135696.58001,1631135696.58472,4.7868981361389205,1631135701.39847,1631135701.39959,1631135705.25004,3.85156512260437,2.318401041031315,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,107-hs107,hs107t1afaff_H.mp4,0,
61,4,vicarious,1,1,1,low_cue,low_stim,1,1631135499.49037,1631135499.49178,1631135705.81679,1631135705.81848,0.8501212596893309,1631135706.6837802,1631135706.68556,low_cue,l001.png,1631135707.6677802,1631135707.66917,1.99912905693054,1631135709.6849,1631135709.6862302,1631135711.40235,1.7174520492553702,17.998694973021554,FIX,1631135713.70306,1631135713.70472,5.26384782791138,low_stim,1631135720.97027,1631135720.96834,,0,,0,0,1631135727.97505,1631135727.9849,4.1918580532074,1631135732.19329,1631135732.19466,1631135735.21642,3.0231337547302206,8.359153365013864,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,107-hs107,hs107t2aeunaff_L.mp4,0,
61,4,vicarious,1,1,1,high_cue,high_stim,6,1631135499.49037,1631135499.49178,1631135736.21145,1631135736.21762,0.855452060699463,1631135737.07844,1631135737.08472,high_cue,h006.png,1631135738.06776,1631135738.06916,0.699148178100586,1631135738.7790804,1631135738.78366,,,42.614055969611194,FIX,1631135742.79724,1631135742.8008099,4.869662761688232,high_stim,1631135749.67015,1631135749.66837,,0,,0,0,1631135756.68576,1631135756.68751,3.1811506748199503,1631135759.88695,1631135759.88754,1631135763.62187,3.73492383956909,16.103583736187403,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,120-kz120,kz120t2aaaff_H.mp4,0,
61,4,vicarious,1,1,1,high_cue,high_stim,6,1631135499.49037,1631135499.49178,1631135764.17188,1631135764.18433,3.59502506256104,1631135767.7732198,1631135767.7843,high_cue,h027.png,1631135768.76772,1631135768.7688901,1.9991819858551,1631135770.79102,1631135770.79201,1631135774.40928,3.61826276779175,81.90250764773724,FIX,1631135774.95924,1631135774.96118,2.00766944885254,high_stim,1631135778.97027,1631135778.96844,,0,,0,0,1631135785.98001,1631135785.9849901,5.686893463134768,1631135791.68214,1631135791.68327,1631135794.83357,3.15142822265625,16.039943306049665,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,108-th108,th108t1aeaff_H.mp4,0,
61,4,vicarious,1,1,1,high_cue,low_stim,4,1631135499.49037,1631135499.49178,1631135795.71698,1631135795.7186902,3.84992814064026,1631135799.58509,1631135799.5867,high_cue,h049.png,1631135800.56776,1631135800.56917,1.79914689064026,1631135802.38613,1631135802.38718,1631135806.28769,3.90155577659607,4.61064931866061,FIX,1631135806.83779,1631135806.83925,10.1291162967682,low_stim,1631135818.97074,1631135818.96837,,0,,0,0,1631135825.97826,1631135825.9851,2.18864345550537,1631135828.19576,1631135828.1969302,1631135830.36635,2.17058873176575,44.1838760044144,FIX,1631135898.00513,1631135898.0182,398.51476144790604,,0,108-th108,th108t1aaunaff_L.mp4,0,
