,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,38,4,cognitive,0,high_cue,low_stim,4,0,low_stim,0.7247177568698753
1,38,4,cognitive,0,low_cue,med_stim,2,1,med_stim,-0.9602598259989027
2,38,4,cognitive,0,high_cue,low_stim,4,2,low_stim,1.1812150266912813
3,38,4,cognitive,0,low_cue,med_stim,2,3,med_stim,0.11078440469576929
4,38,4,cognitive,0,high_cue,high_stim,6,4,high_stim,-0.7144054792870357
5,38,4,cognitive,0,low_cue,low_stim,1,5,low_stim,-1.118624443277792
6,38,4,cognitive,0,low_cue,high_stim,3,6,high_stim,-0.9460703797492083
7,38,4,cognitive,0,low_cue,low_stim,1,7,low_stim,-0.6309807279660427
8,38,4,cognitive,0,high_cue,high_stim,6,8,high_stim,-0.48612491298683747
9,38,4,cognitive,0,low_cue,high_stim,3,9,high_stim,-0.31027094547488077
10,38,4,cognitive,0,high_cue,med_stim,5,10,med_stim,0.7482075465534987
11,38,4,cognitive,0,high_cue,med_stim,5,11,med_stim,1.670333496679892
