,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,55,3,pain,2,high_cue,med_stim,5,1,0,med_stim,-0.0685069359742811
1,55,3,pain,2,high_cue,high_stim,6,2,1,high_stim,-0.067431484825671
2,55,3,pain,2,low_cue,high_stim,3,3,2,high_stim,-0.06640508273720917
3,55,3,pain,2,high_cue,low_stim,4,4,3,low_stim,-0.06507622901387555
4,55,3,pain,2,high_cue,med_stim,5,5,4,med_stim,-0.06372519764078029
5,55,3,pain,2,low_cue,low_stim,1,6,5,low_stim,-0.1324630497601804
6,55,3,pain,2,low_cue,med_stim,2,7,6,med_stim,-0.12846071640456647
7,55,3,pain,2,low_cue,med_stim,2,8,7,med_stim,-0.05885411862621985
8,55,3,pain,2,high_cue,high_stim,6,9,8,high_stim,-0.057658178353941894
9,55,3,pain,2,low_cue,low_stim,1,10,9,low_stim,-0.04766478616937238
10,55,3,pain,2,high_cue,low_stim,4,11,10,low_stim,-0.054414343271462204
11,55,3,pain,2,low_cue,high_stim,3,12,11,high_stim,-0.04318473212952371
