,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,55,3,pain,2,high_cue,med_stim,5,1,0,med_stim,-0.06798974695487241
1,55,3,pain,2,high_cue,high_stim,6,2,1,high_stim,-0.06798999247728468
2,55,3,pain,2,low_cue,high_stim,3,3,2,high_stim,-0.06799011508536457
3,55,3,pain,2,high_cue,low_stim,4,4,3,low_stim,-0.0679899788478682
4,55,3,pain,2,high_cue,med_stim,5,5,4,med_stim,-0.06799000610544141
5,55,3,pain,2,low_cue,low_stim,1,6,5,low_stim,-0.06798974695487241
6,55,3,pain,2,low_cue,med_stim,2,7,6,med_stim,-0.06798993795205836
7,55,3,pain,2,low_cue,med_stim,2,8,7,med_stim,-0.06798980155073463
8,55,3,pain,2,high_cue,high_stim,6,9,8,high_stim,-0.06799011508536457
9,55,3,pain,2,low_cue,low_stim,1,10,9,low_stim,-0.06799015593207079
10,55,3,pain,2,high_cue,low_stim,4,11,10,low_stim,-0.06798989704490424
11,55,3,pain,2,low_cue,high_stim,3,12,11,high_stim,-0.06799015593207079
