,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,37,3,pain,2,high_cue,low_stim,4,1,0,low_stim,-0.745927567071463
1,37,3,pain,2,low_cue,med_stim,2,2,1,med_stim,-0.7456945207718332
2,37,3,pain,2,high_cue,low_stim,4,3,2,low_stim,-0.7453368955567407
3,37,3,pain,2,low_cue,med_stim,2,4,3,med_stim,-0.7455079770746176
4,37,3,pain,2,high_cue,high_stim,6,5,4,high_stim,-0.7453991162091574
5,37,3,pain,2,low_cue,low_stim,1,6,5,low_stim,-0.7453524517041468
6,37,3,pain,2,low_cue,high_stim,3,7,6,high_stim,-0.7454146697314337
7,37,3,pain,2,low_cue,low_stim,1,8,7,low_stim,-0.7454146697314337
8,37,3,pain,2,high_cue,high_stim,6,9,8,high_stim,-0.7452435448989111
9,37,3,pain,2,low_cue,high_stim,3,10,9,high_stim,-0.7455079770746176
10,37,3,pain,2,high_cue,med_stim,5,11,10,med_stim,-0.7456945207718332
11,37,3,pain,2,high_cue,med_stim,5,12,11,med_stim,-0.745523525999159
