,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,61,1,pain,6,high_cue,low_stim,4,1,0,low_stim,-1.5094915122360182
1,61,1,pain,6,low_cue,low_stim,1,2,1,low_stim,-1.5094117732854444
2,61,1,pain,6,low_cue,med_stim,2,3,2,med_stim,-1.5094715874681666
3,61,1,pain,6,low_cue,high_stim,3,4,3,high_stim,-1.5095810914550105
4,61,1,pain,6,high_cue,med_stim,5,5,4,med_stim,-1.5092019524326643
5,61,1,pain,6,high_cue,high_stim,6,6,5,high_stim,-1.5096903944613271
6,61,1,pain,6,high_cue,low_stim,4,7,6,low_stim,-1.509421746470278
7,61,1,pain,6,high_cue,high_stim,6,8,7,high_stim,-1.5093818437595083
8,61,1,pain,6,low_cue,low_stim,1,9,8,low_stim,-1.5094017984387396
9,61,1,pain,6,low_cue,med_stim,2,10,9,med_stim,-1.5094516560540614
10,61,1,pain,6,low_cue,high_stim,3,11,10,high_stim,-1.5093119500257015
11,61,1,pain,6,high_cue,med_stim,5,12,11,med_stim,-1.5095810914550105
