,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,41,3,cognitive,6,low_cue,med_stim,2,0,med_stim,-0.18884243700115816
1,41,3,cognitive,6,high_cue,low_stim,4,1,low_stim,0.2124402222850205
2,41,3,cognitive,6,high_cue,high_stim,6,2,high_stim,0.39755765346905036
3,41,3,cognitive,6,low_cue,med_stim,2,3,med_stim,-0.15133738747925166
4,41,3,cognitive,6,high_cue,low_stim,4,4,low_stim,0.2461351257020225
5,41,3,cognitive,6,low_cue,high_stim,3,5,high_stim,0.36574817443901414
6,41,3,cognitive,6,low_cue,low_stim,1,6,low_stim,0.397656861952985
7,41,3,cognitive,6,high_cue,med_stim,5,7,med_stim,0.021473069342149778
8,41,3,cognitive,6,low_cue,high_stim,3,8,high_stim,-0.27577712422664286
9,41,3,cognitive,6,high_cue,med_stim,5,9,med_stim,0.07820165266191337
10,41,3,cognitive,6,low_cue,low_stim,1,10,low_stim,-0.1937396836086708
11,41,3,cognitive,6,high_cue,high_stim,6,11,high_stim,-0.30134323722169054
