,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,64,3,cognitive,1,low_cue,med_stim,2,0,med_stim,0.6095986237515137
1,64,3,cognitive,1,low_cue,high_stim,3,1,high_stim,0.19018900238023098
2,64,3,cognitive,1,high_cue,low_stim,4,2,low_stim,-0.23237159952502084
3,64,3,cognitive,1,high_cue,med_stim,5,3,med_stim,-0.797348375715671
4,64,3,cognitive,1,high_cue,high_stim,6,4,high_stim,-1.3313791506968338
5,64,3,cognitive,1,low_cue,high_stim,3,5,high_stim,-1.6742992063905588
6,64,3,cognitive,1,low_cue,low_stim,1,6,low_stim,1.401668875966127
7,64,3,cognitive,1,high_cue,high_stim,6,7,high_stim,1.427418956617243
8,64,3,cognitive,1,high_cue,low_stim,4,8,low_stim,0.9838625965113509
9,64,3,cognitive,1,low_cue,med_stim,2,9,med_stim,0.49017082400711814
10,64,3,cognitive,1,low_cue,low_stim,1,10,low_stim,-0.10430146775340124
11,64,3,cognitive,1,high_cue,med_stim,5,11,med_stim,-0.6478992286822637
