,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,16,1,pain,4,low_cue,low_stim,1,1,0,low_stim,-0.21186366359052078
1,16,1,pain,4,low_cue,med_stim,2,2,1,med_stim,0.5175668416028972
2,16,1,pain,4,high_cue,med_stim,5,3,2,med_stim,0.42915990678109633
3,16,1,pain,4,low_cue,high_stim,3,4,3,high_stim,0.8316257086858211
4,16,1,pain,4,high_cue,med_stim,5,5,4,med_stim,1.1485068345908016
5,16,1,pain,4,low_cue,high_stim,3,6,5,high_stim,0.4129847659572485
6,16,1,pain,4,low_cue,low_stim,1,7,6,low_stim,-0.06289281241305067
7,16,1,pain,4,high_cue,high_stim,6,8,7,high_stim,0.2622345315554127
8,16,1,pain,4,high_cue,high_stim,6,9,8,high_stim,-0.33271462958675807
9,16,1,pain,4,high_cue,low_stim,4,10,9,low_stim,0.1774262063697389
10,16,1,pain,4,high_cue,low_stim,4,11,10,low_stim,-0.1171426899266773
11,16,1,pain,4,low_cue,med_stim,2,12,11,med_stim,-0.22683326035492912
