,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_num,trial_order,iv_stim,mean_signal
0,46,3,pain,2,low_cue,low_stim,1,1,0,low_stim,-2.059524286258636
1,46,3,pain,2,low_cue,med_stim,2,2,1,med_stim,-2.059275730792201
2,46,3,pain,2,low_cue,low_stim,1,3,2,low_stim,-2.0592305052467967
3,46,3,pain,2,low_cue,high_stim,3,4,3,high_stim,-2.0590268622145267
4,46,3,pain,2,high_cue,med_stim,5,5,4,med_stim,-2.059117396101782
5,46,3,pain,2,high_cue,high_stim,6,6,5,high_stim,-2.0589815797484943
6,46,3,pain,2,high_cue,med_stim,5,7,6,med_stim,-2.0585508803033705
7,46,3,pain,2,high_cue,low_stim,4,8,7,low_stim,-2.059140023105571
8,46,3,pain,2,high_cue,low_stim,4,9,8,low_stim,-2.059004222274994
9,46,3,pain,2,high_cue,high_stim,6,10,9,high_stim,-2.0583692538851834
10,46,3,pain,2,low_cue,med_stim,2,11,10,med_stim,-2.0585281860504976
11,46,3,pain,2,low_cue,high_stim,3,12,11,high_stim,-2.059117396101782
