sub,total_run_freq,pain_run_freq,vicarious_run_freq,cognitive_run_freq
sub-0001,6,2,2,2
sub-0002,17,5,6,6
sub-0003,18,6,6,6
sub-0004,18,6,6,6
sub-0005,18,6,6,6
sub-0006,18,6,6,6
sub-0007,17,5,6,6
sub-0008,17,5,6,6
sub-0009,18,6,6,6
sub-0010,18,6,6,6
sub-0011,16,4,6,6
sub-0013,17,5,6,6
sub-0014,15,4,6,5
sub-0015,6,2,2,2
sub-0016,17,5,6,6
sub-0017,16,4,6,6
sub-0018,18,6,6,6
sub-0019,17,5,6,6
sub-0020,17,5,6,6
sub-0021,12,4,4,4
sub-0023,17,5,6,6
sub-0024,13,2,6,5
sub-0025,18,6,6,6
sub-0026,17,5,6,6
sub-0028,6,2,2,2
sub-0029,18,6,6,6
sub-0030,6,2,2,2
sub-0031,18,6,6,6
sub-0032,18,6,6,6
sub-0033,18,6,6,6
sub-0034,18,6,6,6
sub-0035,16,4,6,6
sub-0036,18,6,6,6
sub-0037,18,6,6,6
sub-0038,18,6,6,6
sub-0039,18,6,6,6
sub-0040,16,4,6,6
sub-0041,16,4,6,6
sub-0043,18,6,6,6
sub-0044,18,6,6,6
sub-0046,18,6,6,6
sub-0047,6,2,2,2
sub-0050,18,6,6,6
sub-0051,18,6,6,6
sub-0052,18,6,6,6
sub-0053,18,6,6,6
sub-0055,18,6,6,6
sub-0056,18,6,6,6
sub-0057,18,6,6,6
sub-0058,18,6,6,6
sub-0059,16,4,6,6
sub-0060,18,6,6,6
sub-0061,18,6,6,6
sub-0062,18,6,6,6
sub-0063,1,1,0,0
sub-0064,14,2,6,6
sub-0065,18,6,6,6
sub-0066,13,1,6,6
sub-0068,6,2,2,2
sub-0069,14,2,6,6
sub-0070,14,2,6,6
sub-0071,4,0,2,2
sub-0073,18,6,6,6
sub-0074,16,6,5,5
sub-0075,14,2,6,6
sub-0076,14,2,6,6
sub-0077,16,4,6,6
sub-0078,18,6,6,6
sub-0079,16,4,6,6
sub-0080,18,6,6,6
sub-0081,18,6,6,6
sub-0082,6,2,2,2
sub-0083,17,5,6,6
sub-0084,16,4,6,6
sub-0085,6,2,2,2
sub-0086,18,6,6,6
sub-0087,18,6,6,6
sub-0088,17,6,6,5
sub-0089,17,5,6,6
sub-0090,18,6,6,6
sub-0091,18,6,6,6
sub-0092,18,6,6,6
sub-0093,18,6,6,6
sub-0094,18,6,6,6
sub-0095,18,6,6,6
sub-0097,6,2,2,2
sub-0098,18,6,6,6
sub-0099,18,6,6,6
sub-0100,18,6,6,6
sub-0101,18,6,6,6
sub-0102,18,6,6,6
sub-0103,15,5,5,5
sub-0104,18,6,6,6
sub-0105,18,6,6,6
sub-0106,18,6,6,6
sub-0107,18,6,6,6
sub-0109,18,6,6,6
sub-0111,17,6,5,6
sub-0112,17,5,6,6
sub-0114,6,2,2,2
sub-0115,18,6,6,6
sub-0116,18,6,6,6
sub-0117,6,2,2,2
sub-0118,6,2,2,2
sub-0119,6,2,2,2
sub-0120,6,2,2,2
sub-0122,18,6,6,6
sub-0123,6,2,2,2
sub-0124,18,6,6,6
sub-0126,18,6,6,6
sub-0127,18,6,6,6
sub-0128,18,6,6,6
sub-0129,18,6,6,6
sub-0130,18,6,6,6
sub-0131,16,4,6,6
sub-0132,18,6,6,6
sub-0133,18,6,6,6
