src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename,param_C_stim_num,event03_C_stim_match,event03_C_stim_filename
75,4,cognitive,0,4,2,low_cue,high_stim,3,1632934802.14674,1632934802.1489801,1632934804.9456,1632934804.94816,0.580582618713379,1632934805.54582,1632934805.55124,low_cue,l019.png,1632934806.52758,1632934806.52926,1.69860506057739,1632934808.2635,1632934808.26696,1632934809.83252,1.56901836395264,28.316354943272216,FIX,1632934812.2816699,1632934812.28452,6.34451365470886,high_stim,1632934820.65146,1632934820.65315,,1,left,1632934824.78687,4.13541436195374,1632934827.6373901,1632934827.6512802,7.0887885093689,1632934834.74004,1632934834.75017,1632934836.63257,1.89252996444702,37.33009481382271,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,47,same,47_150.jpg
75,4,cognitive,0,4,2,high_cue,med_stim,5,1632934802.14674,1632934802.1489801,1632934838.7748802,1632934838.7775,4.951300144195558,1632934843.7434,1632934843.75105,high_cue,h046.png,1632934844.72768,1632934844.7295,2.09849691390991,1632934846.84456,1632934846.8501,1632934848.64935,1.80479264259338,39.95278500138858,FIX,1632934850.86272,1632934850.86792,4.46345996856689,med_stim,1632934857.34847,1632934857.35023,,2,right,1632934860.7349,3.38642144203186,1632934864.33441,1632934864.35128,7.09176874160767,1632934871.4370599,1632934871.45003,1632934874.8059402,3.36887621879578,12.528807709151511,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,44,same,44_100.jpg
75,4,cognitive,0,4,2,low_cue,low_stim,1,1632934802.14674,1632934802.1489801,1632934875.4719,1632934875.47498,5.05428099632263,1632934880.5404599,1632934880.55114,low_cue,l022.png,1632934881.5275,1632934881.52894,2.09867906570435,1632934883.64161,1632934883.65018,1632934885.31584,1.67422771453857,14.649904105812965,FIX,1632934887.65978,1632934887.66777,0.466403961181641,low_stim,1632934890.14404,1632934890.15068,,2,right,1632934893.39949,3.25545072555542,1632934897.14665,1632934897.1510599,2.77953267097473,1632934899.94769,1632934899.94999,1632934901.66592,1.71822476387024,18.28915835000279,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,10,same,10_50.jpg
75,4,cognitive,0,4,2,low_cue,low_stim,1,1632934802.14674,1632934802.1489801,1632934903.98253,1632934903.9849901,4.04365015029907,1632934908.03404,1632934908.05095,low_cue,l030.png,1632934909.02759,1632934909.02926,0.49859094619751,1632934909.55127,1632934909.55229,1632934911.0357401,1.4844672679901103,0.0,FIX,1632934913.5694401,1632934913.5720599,0.7567415237426759,low_stim,1632934916.33714,1632934916.35049,,1,left,1632934921.10344,4.766299962997441,1632934923.33975,1632934923.35113,6.786429643630981,1632934930.14229,1632934930.15018,1632934932.4829,2.34061717987061,23.985903676794575,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,5,diff,5_50_R.jpg
75,4,cognitive,0,4,2,high_cue,low_stim,4,1632934802.14674,1632934802.1489801,1632934934.17712,1632934934.18544,5.04905700683594,1632934939.24568,1632934939.25163,high_cue,h055.png,1632934940.22821,1632934940.23084,2.09796690940857,1632934942.3468401,1632934942.35,1632934944.39922,2.05238199234009,42.227157522404035,FIX,1632934946.365,1632934946.36888,3.66117787361145,low_stim,1632934952.0504599,1632934952.05321,,1,left,1632934955.76736,3.7169041633605997,1632934959.0530698,1632934959.05621,2.9731931686401403,1632934962.05419,1632934962.0553901,1632934965.62271,3.5685214996337904,19.4527870602187,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,11,diff,11_50_R.jpg
75,4,cognitive,0,4,2,high_cue,med_stim,5,1632934802.14674,1632934802.1489801,1632934966.18906,1632934966.19111,4.9371194839477495,1632934971.14091,1632934971.14299,high_cue,h033.png,1632934972.12716,1632934972.12849,0.9990239143371579,1632934973.14166,1632934973.15009,1632934975.4161599,2.27450299263,63.74409571229871,FIX,1632934977.1598198,1632934977.16222,0.4663586616516111,med_stim,1632934979.6440802,1632934979.65002,,1,left,1632934984.55876,4.9146826267242405,1632934986.6466901,1632934986.64869,2.77948999404907,1632934989.44774,1632934989.45003,1632934991.56599,2.11824941635132,46.78484332431897,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,10,diff,10_100_R.jpg
75,4,cognitive,0,4,2,high_cue,low_stim,4,1632934802.14674,1632934802.1489801,1632934993.48257,1632934993.4844,3.04360747337341,1632934996.53371,1632934996.53577,high_cue,h018.png,1632934997.5271401,1632934997.52848,0.999039888381958,1632934998.55113,1632934998.5525901,1632935001.43613,2.88499712944031,63.12746100834422,FIX,1632935002.5693,1632935002.57143,6.95688366889954,low_stim,1632935011.53931,1632935011.5501802,,1,left,1632935015.66643,4.12711715698242,1632935018.54192,1632935018.55135,5.88426113128662,1632935024.44412,1632935024.45011,,,58.091893064346856,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,43,diff,43_50_R.jpg
75,4,cognitive,0,4,2,low_cue,high_stim,3,1632934802.14674,1632934802.1489801,1632935028.47896,1632935028.48445,8.447221994400019,1632935036.93211,1632935036.934,low_cue,l013.png,1632935037.92713,1632935037.92852,1.4990470409393302,1632935039.44972,1632935039.45086,1632935041.36741,1.91769123077393,18.72578784527256,FIX,1632935043.46788,1632935043.47038,7.95829844474792,high_stim,1632935053.4382699,1632935053.45012,,1,left,1632935056.69346,3.25519704818726,1632935060.44088,1632935060.45109,4.3853020668029785,1632935064.84252,1632935064.85016,1632935068.53292,3.6904022693633998,42.072652008259126,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,35,diff,35_150_R.jpg
75,4,cognitive,0,4,2,low_cue,med_stim,2,1632934802.14674,1632934802.1489801,1632935069.09411,1632935069.10142,4.83207631111145,1632935073.94591,1632935073.94822,low_cue,l029.png,1632935074.9272401,1632935074.92924,2.09893798828125,1632935077.04707,1632935077.0501199,1632935079.89924,2.85216426849365,6.441600099335033,FIX,1632935081.0652401,1632935081.0674698,5.66094613075256,med_stim,1632935088.73476,1632935088.7501,,2,right,1632935091.6782598,2.94349312782288,1632935095.73737,1632935095.7510002,0.7888071537017819,1632935096.53767,1632935096.55161,1632935098.3721302,1.83446002006531,14.991084721798664,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,18,same,18_100.jpg
75,4,cognitive,0,4,2,low_cue,med_stim,2,1632934802.14674,1632934802.1489801,1632935100.57251,1632935100.57479,1.45367002487183,1632935102.0397198,1632935102.0422099,low_cue,l044.png,1632935103.02716,1632935103.0285802,0.899018049240112,1632935103.94044,1632935103.95017,1632935105.6492,1.70876288414001,17.49099731224262,FIX,1632935107.9586,1632935107.96077,7.66758322715759,med_stim,1632935117.64554,1632935117.6503901,,1,left,1632935120.65601,3.01046323776245,1632935124.64816,1632935124.65076,3.5780253410339395,1632935128.2495,1632935128.25075,1632935131.1010802,2.85158109664917,34.58524123619086,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,29,diff,29_100_R.jpg
75,4,cognitive,0,4,2,high_cue,high_stim,6,1632934802.14674,1632934802.1489801,1632935132.2843401,1632935132.28627,7.7418737411499,1632935140.03723,1632935140.03948,high_cue,h039.png,1632935141.02719,1632935141.0288,1.6989901065826398,1632935142.73824,1632935142.75021,1632935145.3062801,2.5680480003356903,66.01409632320542,FIX,1632935146.7564,1632935146.75861,1.3697803020477302,high_stim,1632935150.141,1632935150.15011,,1,left,1632935154.6542401,4.51323962211609,1632935157.14361,1632935157.1517198,0.48257303237915,1632935157.64379,1632935157.6502302,1632935160.0659802,2.42218470573425,28.207490879015296,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,18,diff,18_150_R.jpg
75,4,cognitive,0,4,2,high_cue,high_stim,6,1632934802.14674,1632934802.1489801,1632935161.67863,1632935161.68144,3.04754853248596,1632935164.74644,1632935164.74858,high_cue,h042.png,1632935165.7272,1632935165.7286,1.19898009300232,1632935166.94726,1632935166.95016,1632935168.69921,1.75195002555847,55.60968559128741,FIX,1632935170.96543,1632935170.96731,7.66075205802917,high_stim,1632935180.6357,1632935180.65028,,1,left,1632935184.65398,4.01827812194824,1632935187.63831,1632935187.65159,9.087868452072142,1632935196.74171,1632935196.7505698,1632935198.8158698,2.0741641521453897,24.386371101801387,FIX,1632935200.77655,1632935200.77912,398.62980413436895,,0,,,0,,29,same,29_150.jpg
