,src_subject_id,session_id,param_task_name,param_run_num,param_cue_type,param_stimulus_type,param_cond_type,trial_order,iv_stim,mean_signal
0,59,1,cognitive,2,high_cue,low_stim,4,0,low_stim,-0.699361634480588
1,59,1,cognitive,2,low_cue,med_stim,2,1,med_stim,-0.6875380283546925
2,59,1,cognitive,2,high_cue,high_stim,6,2,high_stim,-0.5727580254279835
3,59,1,cognitive,2,low_cue,high_stim,3,3,high_stim,0.6403265703153197
4,59,1,cognitive,2,high_cue,low_stim,4,4,low_stim,1.7285237751991243
5,59,1,cognitive,2,high_cue,med_stim,5,5,med_stim,1.435427604785131
6,59,1,cognitive,2,low_cue,high_stim,3,6,high_stim,0.966023537512221
7,59,1,cognitive,2,high_cue,med_stim,5,7,med_stim,0.7179168922567558
8,59,1,cognitive,2,low_cue,low_stim,1,8,low_stim,0.08851545914433319
9,59,1,cognitive,2,low_cue,low_stim,1,9,low_stim,-0.3662537574612828
10,59,1,cognitive,2,high_cue,high_stim,6,10,high_stim,-1.0089056448400466
11,59,1,cognitive,2,low_cue,med_stim,2,11,med_stim,-1.4639154791939495
