onset	duration	trial_type	sub	ses	run	runtype	eventtype	trialnum	cuetype	stimtype	expectrating	outcomerating	singletrial_fname
10.589940071105955	1.0	cue	sub-0102	ses-03	run-02	pain	cue	0	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-000_cuetype-low.nii.gz
35.699300050735474	1.0	cue	sub-0102	ses-03	run-02	pain	cue	1	low_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz
61.29218006134033	1.0	cue	sub-0102	ses-03	run-02	pain	cue	2	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz
91.28670001029968	1.0	cue	sub-0102	ses-03	run-02	pain	cue	3	low_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz
119.99741005897522	1.0	cue	sub-0102	ses-03	run-02	pain	cue	4	high_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz
153.89337992668152	1.0	cue	sub-0102	ses-03	run-02	pain	cue	5	high_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz
194.1917400360107	1.0	cue	sub-0102	ses-03	run-02	pain	cue	6	high_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz
219.20107007026672	1.0	cue	sub-0102	ses-03	run-02	pain	cue	7	high_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-007_cuetype-high.nii.gz
251.39640998840332	1.0	cue	sub-0102	ses-03	run-02	pain	cue	8	high_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-008_cuetype-high.nii.gz
285.79256987571716	1.0	cue	sub-0102	ses-03	run-02	pain	cue	9	high_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-009_cuetype-high.nii.gz
326.19096994400024	1.0	cue	sub-0102	ses-03	run-02	pain	cue	10	low_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-010_cuetype-low.nii.gz
366.38928985595703	1.0	cue	sub-0102	ses-03	run-02	pain	cue	11	low_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-cue_trial-011_cuetype-low.nii.gz
12.307250022888184	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	0	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-000_cuetype-low.nii.gz
38.00015997886658	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	1	low_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-001_cuetype-low.nii.gz
64.19325995445251	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	2	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-002_cuetype-low.nii.gz
93.70426988601685	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	3	low_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-003_cuetype-low.nii.gz
122.8984899520874	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	4	high_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-004_cuetype-high.nii.gz
155.79409003257751	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	5	high_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-005_cuetype-high.nii.gz
196.9927899837494	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	6	high_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-006_cuetype-high.nii.gz
222.1021499633789	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	7	high_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-007_cuetype-high.nii.gz
253.79729986190796	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	8	high_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-008_cuetype-high.nii.gz
288.9937598705292	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	9	high_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-009_cuetype-high.nii.gz
328.09168004989624	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	10	low_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-010_cuetype-low.nii.gz
369.19034004211426	4.0	expectrating	sub-0102	ses-03	run-02	pain	expectrating	11	low_cue	high_stim			sub-0102_ses-03_run-02_runtype-pain_event-expectrating_trial-011_cuetype-low.nii.gz
21.164999961853027	5.0	stimulus	sub-0102	ses-03	run-02	pain	stimulus	0	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz
43.82665991783142	5.0	stimulus	sub-0102	ses-03	run-02	pain	stimulus	1	low_cue	med_stim			sub-0102_ses-03_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz
72.25440001487732	5.0	stimulus	sub-0102	ses-03	run-02	pain	stimulus	2	low_cue	low_stim			sub-0102_ses-03_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz
