src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename
76,4,vicarious,3,1,2,low_cue,low_stim,1,1632930114.6814196,1632930114.68388,1632930117.4642,1632930117.4672198,11.3947069644928,1632930128.86845,1632930128.8842099,low_cue,l054.png,1632930129.86087,1632930129.8631,0.7980399131774899,1632930130.6858,1632930130.69975,1632930134.07076,3.3849630355835,6.392373680037028,FIX,1632930134.70396,1632930134.70664,4.65494441986084,low_stim,1632930141.36422,1632930141.36114,,0,,0,0,1632930148.37573,1632930148.37854,3.9831779003143297,1632930152.37722,1632930152.38256,1632930154.3654099,1.9881877899169904,4.168032976747494,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,121-vw121,vw121t1aeaff_L.mp4,0,
76,4,vicarious,3,1,2,low_cue,med_stim,2,1632930114.6814196,1632930114.68388,1632930156.41206,1632930156.4174,2.04684710502625,1632930158.4795,1632930158.4818199,low_cue,l019.png,1632930159.46038,1632930159.46205,1.99852299690247,1632930161.48062,1632930161.4825401,1632930163.09855,1.61793875694275,43.04749095060039,FIX,1632930165.49878,1632930165.50056,4.660125732421879,med_stim,1632930172.16269,1632930172.16056,,0,,0,0,1632930179.17054,1632930179.17255,4.7883601188659695,1632930183.9890099,1632930183.99045,1632930186.30685,2.3178448677062997,18.799885158652657,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,120-kz120,kz120t2aeaff_M.mp4,0,
76,4,vicarious,3,1,2,high_cue,med_stim,5,1632930114.6814196,1632930114.68388,1632930188.02385,1632930188.02621,4.4350574016571,1632930192.47551,1632930192.4775698,high_cue,h040.png,1632930193.46005,1632930193.4614801,1.99885702133179,1632930195.47663,1632930195.48272,1632930197.9153302,2.4386999607086204,6.6696198423123345,FIX,1632930199.49479,1632930199.5002599,0.764116764068604,med_stim,1632930202.26255,1632930202.26055,,0,,0,0,1632930209.2651,1632930209.26704,2.7938027381897004,1632930212.08282,1632930212.0839698,1632930214.00087,1.91805481910706,4.823658197595176,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,043-jh043,jh043t2aeunaff_M.mp4,0,
76,4,vicarious,3,1,2,low_cue,high_stim,3,1632930114.6814196,1632930114.68388,1632930216.11766,1632930216.12015,9.04124975204468,1632930225.17103,1632930225.17315,low_cue,l028.png,1632930226.16005,1632930226.16162,0.898850917816162,1632930227.0717402,1632930227.0828302,1632930228.81536,1.7436192035675002,3.98547861305168,FIX,1632930231.08991,1632930231.09195,7.46899819374084,high_stim,1632930240.56264,1632930240.5605,,0,,0,0,1632930247.57939,1632930247.58188,3.17951607704163,1632930250.78058,1632930250.78279,1632930253.49862,2.71803784370422,1.169139327907419,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,115-jy115,jy115t2aaaff_H.mp4,0,
76,4,vicarious,3,1,2,high_cue,med_stim,5,1632930114.6814196,1632930114.68388,1632930254.81542,1632930254.81764,10.543484926223801,1632930265.36936,1632930265.37146,high_cue,h043.png,1632930266.35995,1632930266.3613696,0.6989610195159909,1632930267.0699902,1632930267.0827198,1632930270.82189,3.75190353393555,30.372286357644946,FIX,1632930271.3716,1632930271.37348,2.18730878829956,med_stim,1632930275.56289,1632930275.56058,,0,,0,0,1632930282.57577,1632930282.5782301,5.88313102722168,1632930288.47797,1632930288.48271,1632930291.59862,3.1206490993499796,4.629234947797588,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,097-gf097,gf097t1aiaff_M.mp4,0,
76,4,vicarious,3,1,2,low_cue,high_stim,3,1632930114.6814196,1632930114.68388,1632930292.51281,1632930292.51686,0.8460929393768309,1632930293.3798,1632930293.38223,low_cue,l042.png,1632930294.3603199,1632930294.36173,2.0985848903656,1632930296.48096,1632930296.48275,1632930298.09906,1.6180961132049598,47.10908973725776,FIX,1632930300.49912,1632930300.5014,2.15978312492371,high_stim,1632930304.66335,1632930304.66049,,0,,0,0,1632930311.66996,1632930311.67188,3.0889487266540496,1632930314.78779,1632930314.78926,1632930318.33965,3.5518639087677,20.666123430953263,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,080-bn080,bn080t1afaff_H.mp4,0,
76,4,vicarious,3,1,2,low_cue,low_stim,1,1632930114.6814196,1632930114.68388,1632930318.9059901,1632930318.9084,1.15291714668274,1632930320.07309,1632930320.07542,low_cue,l008.png,1632930321.05996,1632930321.06137,1.9989478588104201,1632930323.07421,1632930323.0827599,1632930325.13203,2.0578153133392303,35.106079330264585,FIX,1632930327.09238,1632930327.10097,5.26653099060059,low_stim,1632930334.36269,1632930334.3606,,0,,0,0,1632930341.3643599,1632930341.36709,5.8945410251617405,1632930347.28324,1632930347.28443,1632930350.00144,2.71820616722107,13.701510492346527,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,043-jh043,jh043t2aaunaff_L.mp4,0,
76,4,vicarious,3,1,2,high_cue,high_stim,6,1632930114.6814196,1632930114.68388,1632930351.3180802,1632930351.3202698,0.840829610824585,1632930352.16839,1632930352.17011,high_cue,h011.png,1632930353.15993,1632930353.16138,0.6989789009094239,1632930353.86903,1632930353.88282,1632930356.00347,2.1344428062438996,6.021590139043344,FIX,1632930357.88719,1632930357.88956,0.77171516418457,high_stim,1632930360.6629,1632930360.6607199,,0,,0,0,1632930367.67417,1632930367.6762,4.88473129272461,1632930372.576,1632930372.58273,1632930375.7820199,3.20601844787598,17.779752459193386,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,121-vw121,vw121t1aaaff_H.mp4,0,
76,4,vicarious,3,1,2,high_cue,high_stim,6,1632930114.6814196,1632930114.68388,1632930376.61084,1632930376.61328,3.84806275367737,1632930380.47895,1632930380.4812,high_cue,h044.png,1632930381.45991,1632930381.46138,1.9989910125732402,1632930383.4800699,1632930383.48257,1632930386.3485801,2.8685104846954306,3.2180612837942015,FIX,1632930387.49824,1632930387.5004,2.1606707572937,high_stim,1632930391.66264,1632930391.6605198,,0,,0,0,1632930398.66907,1632930398.6714,3.98984026908875,1632930402.68723,1632930402.6885,1632930404.65522,1.9679880142211896,19.88516511385544,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,043-jh043,jh043t2aeaff_H.mp4,0,
76,4,vicarious,3,1,2,high_cue,low_stim,4,1632930114.6814196,1632930114.68388,1632930406.72207,1632930406.72414,4.63683485984802,1632930411.37381,1632930411.37589,high_cue,h052.png,1632930412.35995,1632930412.36138,1.7989568710327102,1632930414.17485,1632930414.18272,1632930416.26545,2.09060120582581,3.24406302962854,FIX,1632930418.1930199,1632930418.1998599,10.5658895969391,low_stim,1632930430.7627301,1632930430.7605,,0,,0,0,1632930437.7669802,1632930437.76884,3.8919246196746804,1632930441.6851099,1632930441.68635,1632930443.6196802,1.93456959724426,26.255904287701295,FIX,1632930513.21178,1632930513.21761,398.53036403656,,0,115-jy115,jy115t1aaunaff_L.mp4,0,
