onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	onset_ttl1	onset_ttl2	onset_ttl3	onset_ttl4	stimulus_delivery_success
5.4	1.0	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h006.png	n/a	n/a	n/a	n/a	n/a
35.09	1.0	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a	n/a	n/a
68.69	1.0	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h012.png	n/a	n/a	n/a	n/a	n/a
96.6	0.98	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a	n/a	n/a
123.99	1.0	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png	n/a	n/a	n/a	n/a	n/a
167.29	1.0	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h020.png	n/a	n/a	n/a	n/a	n/a
203.29	1.0	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l036.png	n/a	n/a	n/a	n/a	n/a
238.69	1.0	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l016.png	n/a	n/a	n/a	n/a	n/a
276.9	0.98	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l002.png	n/a	n/a	n/a	n/a	n/a
312.3	1.0	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png	n/a	n/a	n/a	n/a	n/a
347.39	1.0	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h041.png	n/a	n/a	n/a	n/a	n/a
373.19	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a	n/a	n/a
8.22	2.49	expectrating	1	high_cue	n/a	44.84	Strong	44.84	Strong	0.48	2.0	h006.png	n/a	n/a	n/a	n/a	n/a
37.49	2.14	expectrating	2	high_cue	n/a	55.29	Strong	55.29	Strong	0.43	1.71	h004.png	n/a	n/a	n/a	n/a	n/a
71.09	2.23	expectrating	3	high_cue	n/a	62.71	Strong	62.71	Strong	1.02	1.22	h012.png	n/a	n/a	n/a	n/a	n/a
98.1	3.5	expectrating	4	low_cue	n/a	51.02	Strong	51.02	Strong	2.13	1.37	l013.png	n/a	n/a	n/a	n/a	n/a
126.79	1.61	expectrating	5	high_cue	n/a	66.62	Very Strong	66.62	Very Strong	0.47	1.14	h024.png	n/a	n/a	n/a	n/a	n/a
170.09	2.13	expectrating	6	high_cue	n/a	69.31	Very Strong	69.31	Very Strong	0.53	1.59	h020.png	n/a	n/a	n/a	n/a	n/a
205.19	2.68	expectrating	7	low_cue	n/a	58.8	Strong	58.8	Strong	0.47	2.22	l036.png	n/a	n/a	n/a	n/a	n/a
